sample	BertuzziAS_2018__ERS2032089	BertuzziAS_2018__ERS2032090	BertuzziAS_2018__ERS2032091	BertuzziAS_2018__ERS2032092	BertuzziAS_2018__ERS2032093	BertuzziAS_2018__ERS2032094	BertuzziAS_2018__ERS2032095	BertuzziAS_2018__ERS2032096	BertuzziAS_2018__ERS2032097	BertuzziAS_2018__ERS2032098	BertuzziAS_2018__ERS2032099	BertuzziAS_2018__ERS2032100	BertuzziAS_2018__ERS2032101	BertuzziAS_2018__ERS2032102	BertuzziAS_2018__ERS2032103	BertuzziAS_2018__ERS2032104	BertuzziAS_2018__ERS2032105	BertuzziAS_2018__ERS2032106	BertuzziAS_2018__ERS2032107	BertuzziAS_2018__ERS2032108	BertuzziAS_2018__ERS2032109	BertuzziAS_2018__ERS2032110	BertuzziAS_2018__ERS2032111	BertuzziAS_2018__ERS2032112	BertuzziAS_2018__ERS2032113	BertuzziAS_2018__ERS2032114	BertuzziAS_2018__ERS2032115	BertuzziAS_2018__ERS2032116	BertuzziAS_2018__ERS2032117	BertuzziAS_2018__ERS2032118	BertuzziAS_2018__ERS2032119	BertuzziAS_2018__ERS2032120	BertuzziAS_2018__ERS2032121	BertuzziAS_2018__ERS2032122	BertuzziAS_2018__ERS2032123	BertuzziAS_2018__ERS2032124	BertuzziAS_2018__ERS2032125	BertuzziAS_2018__ERS2032126	BertuzziAS_2018__ERS2032127	BertuzziAS_2018__ERS2032128	BertuzziAS_2018__ERS2032129	BertuzziAS_2018__ERS2032130
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Macrococcoides|s__Macrococcoides_caseolyticum|t__SGB7869	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.00686	0.10537	0.0	0.07656	0.0	0.0	0.0	0.00654	0.08492	0.02736	0.0	0.04426	0.0	0.0574	0.0	0.01385	0.0	0.0	0.0	0.03215	0.0	0.01178	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_baumannii|t__SGB10343	1.97515	0.12882	0.74349	0.57285	1.00412	0.40878	0.173	0.29903	0.85151	0.19164	0.13816	0.45864	1.94535	0.24473	0.28371	0.18803	0.36391	0.24699	0.28459	0.0	0.60626	0.37964	0.17258	0.0396	1.75839	0.41879	0.00913	1.34551	2.26209	0.14852	0.16322	0.12458	0.48679	0.11546	0.24234	0.18103	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Loigolactobacillus|s__Loigolactobacillus_coryniformis|t__SGB7198	0.0	0.00018	0.0	0.04245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_subtilis|t__SGB7788_group	0.00519	0.00079	0.0	0.0	0.0	0.0	0.0	0.0	0.01583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__SGB10068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_casseliflavus|t__SGB7952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Anoxybacillus|s__Anoxybacillus_flavithermus|t__SGB8359	0.1431	0.04001	0.02537	0.04238	0.18224	0.03928	0.00598	0.04829	0.16622	0.02186	0.01084	0.0136	0.17874	0.00473	0.01503	0.01309	0.31259	0.0273	0.0054	0.0	0.05759	0.01258	0.02096	0.0	0.16108	0.03881	0.0	0.0	0.17545	0.0	0.0	0.0	0.0991	0.01834	0.00438	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius|t__SGB8007	0.0	0.0003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_carnosus|t__SGB7830	0.0	0.0	0.0	0.03442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09947	0.0	0.01094	0.01722	0.0278	0.0	0.08978	0.03724	0.0	0.0	0.16315	0.14602	0.00509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Deinococcota|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_thermophilus|t__SGB17566	0.07221	0.08947	0.04157	0.03449	0.07187	0.07364	0.01593	0.12157	0.06105	0.0729	0.02398	0.1251	0.20936	0.0	0.06491	0.05495	0.29863	0.0605	0.03754	0.0	0.21155	0.06022	0.06383	0.01546	0.14477	0.08986	0.0	0.04217	0.14242	0.00672	0.01722	0.0	0.18645	0.04308	0.0038	0.02925	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lacticaseibacillus|s__Lacticaseibacillus_rhamnosus|t__SGB7144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19109	0.0	0.0	0.0	0.09378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Weissella|s__Weissella_jogaejeotgali|t__SGB7119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00671	0.0	0.0	0.02326	0.0	0.0	0.00143	0.0	0.0	0.0	0.0	0.0	0.05896	0.0	0.01454	0.01064	0.04368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Erwinia|s__Erwinia_billingiae|t__SGB10198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_fulva|t__SGB12272	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis|t__SGB17278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18547	0.0	0.0	0.0	0.08067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales|f__Lysobacteraceae|g__Stenotrophomonas|s__Stenotrophomonas_maltophilia|t__SGB12460	0.0	0.0	0.04271	0.08588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04656	0.0	0.08307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales|f__Lysobacteraceae|g__Stenotrophomonas|s__Stenotrophomonas_rhizophila|t__SGB32943	0.0	0.0	0.00326	0.01595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
