sample	KastmanEK_2016__CSB962	KastmanEK_2016__CSB907	KastmanEK_2016__CSB888	KastmanEK_2016__CSB875	KastmanEK_2016__CSB870	KastmanEK_2016__CSB739	KastmanEK_2016__CSB737	KastmanEK_2016__CSB734	KastmanEK_2016__CSB729	KastmanEK_2016__CSB726	KastmanEK_2016__CSB720	KastmanEK_2016__CSB694	KastmanEK_2016__CSB619	KastmanEK_2016__CSB600	KastmanEK_2016__CSB409	KastmanEK_2016__CSB387	KastmanEK_2016__CSB341	KastmanEK_2016__CSB307
macrocategory	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food
category	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy
type	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese
subtype	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind
country	USA	FRA	ITA	FRA	ESP	USA	USA	USA	USA	USA	USA	FRA	USA	USA	FRA	GBR	ESP	FRA
source	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public
k__Bacteria|p__Actinobacteria|c__CFGB43984|o__OFGB43984|f__FGB43984|g__GGB48225|s__GGB48225_SGB66232|t__SGB66232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0.0	0.0	0.01598	0.0
k__Bacteria|p__Actinobacteria|c__CFGB44020|o__OFGB44020|f__FGB44020|g__GGB71983|s__GGB71983_SGB99036|t__SGB99036	0.0	0.0	0.0	0.00351	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__CFGB47577|o__OFGB47577|f__FGB47577|g__GGB49272|s__GGB49272_SGB69136|t__SGB69136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.34883	0	0.0	0.79536	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__CFGB48225|o__OFGB48225|f__FGB48225|g__GGB71772|s__GGB71772_SGB98739|t__SGB98739	0.0	0.0	0.0	0.0	0.0	0.17289	0.0	0	0.0	0	0	0.0	0	0.16439	0.0	0.02527	0.0	0.2463
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Jeotgalicoccus|s__Jeotgalicoccus_SGB94720|t__SGB94720	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.10187	0.0	0.0	0.0	0.18825	0.0	0.11645
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Jeotgalicoccus|s__Jeotgalicoccus_SGB96891|t__SGB96891	0.0	0.02073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01408	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Mammaliicoccus|s__Mammaliicoccus_SGB96923|t__SGB96923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67619	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Mammaliicoccus|s__Mammaliicoccus_sciuri|t__SGB7818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04298
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Mammaliicoccus|s__Mammaliicoccus_vitulinus|t__SGB7820	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00141	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Salinicoccus|s__Salinicoccus_SGB96906|t__SGB96906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0985	0.0
