clade_name	ZhangZ_2021__SRR13638419	ZhangZ_2021__SRR13638420	ZhangZ_2021__SRR13638421	ZhangZ_2021__SRR13638422	ZhangZ_2021__SRR13638423	ZhangZ_2021__SRR13638424	ZhangZ_2021__SRR13638425	ZhangZ_2021__SRR13638426	ZhangZ_2021__SRR13638427	ZhangZ_2021__SRR13638428	ZhangZ_2021__SRR13638429	ZhangZ_2021__SRR13638430	ZhangZ_2021__SRR13638431	ZhangZ_2021__SRR13638432	ZhangZ_2021__SRR13638433	ZhangZ_2021__SRR13638434	ZhangZ_2021__SRR13638435	ZhangZ_2021__SRR13638436	ZhangZ_2021__SRR13638437	ZhangZ_2021__SRR13638438
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Salinivibrio|s__Salinivibrio_siamensis|t__SGB9795	0.05959	0.0	0.05648	68.93892	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.91948
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Morganella|s__Morganella_morganii|t__SGB10028	0.05564	0.09059	0.10184	0.40029	0.01401	0.01976	0.00774	0.0	0.0	0.0	0.0	0.0	0.08606	0.0	0.0	0.0	0.0	0.00244	0.04946	0.00817
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_SGB48612|t__SGB48612	0.05065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03897	0.0	0.0	0.0	0.0	0.0	0.06897	0.0	0.0	0.0	0.00363	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Mammaliicoccus|s__Mammaliicoccus_sciuri|t__SGB7818	0.03351	0.54843	0.04413	0.06084	0.01589	0.00344	0.19254	0.0	0.0	0.0	0.0	0.0	0.09068	0.0	0.0	0.0	0.0	0.0	0.06406	0.05206
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Moraxella|s__Moraxella_osloensis|t__SGB10439	0.03296	0.0	0.04768	0.10038	0.00353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00904	0.0	0.0	0.09697	0.07542
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Cronobacter|s__Cronobacter_sakazakii|t__SGB10090	0.0319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_parahaemolyticus|t__SGB9894	0.03008	0.0	0.15164	0.0156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales|f__Lysobacteraceae|g__Stenotrophomonas|s__Stenotrophomonas_maltophilia|t__SGB12459	0.02815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01111	0.0	0.0	0.0	0.0	0.05097	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_viikkiensis|t__SGB49090	0.02596	0.00323	0.23703	0.17829	0.0583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08821	0.14994
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_portucalensis|t__SGB10084	0.02481	0.0	0.01931	0.01254	0.10456	0.11057	0.0103	0.0	0.0	0.1126	0.0	0.0	0.86603	0.0	0.0	0.0	0.0	0.01494	0.0	0.0031
