clade_name	ArocheXA_2025__SRR32671091	ArocheXA_2025__SRR32671092	ArocheXA_2025__SRR32671084	ArocheXA_2025__SRR32671085	ArocheXA_2025__SRR32671090	ArocheXA_2025__SRR32671081	ArocheXA_2025__SRR32671093	ArocheXA_2025__SRR32671096	ArocheXA_2025__SRR32671094	ArocheXA_2025__SRR32671082	ArocheXA_2025__SRR32671083
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Acetobacteraceae_unclassified|s__Acetobacteraceae_bacterium_ESL0709|t__SGB162060	0.0	0.0	0.0	0.02722	0.0	0.0	0.0	0.0	0.0	0.20745	0.18146
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae|g__Rheinheimera|s__Rheinheimera_nanhaiensis|t__SGB9788	0.0	0.0	0.0	0.01421	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_towneri|t__SGB10412	0.0	0.0	0.0	0.01253	0.0	0.0	0.0	0.0	0.0	0.28627	0.49297
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_eucrina|t__SGB10168	0.0	0.0	0.0	0.01124	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Perlucidibacaceae|g__Perlucidibaca|s__Perlucidibaca_piscinae|t__SGB33025	0.0	0.0	0.0	0.00984	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Rhizobium|s__Rhizobium_rosettiformans|t__SGB32156	0.0	0.0	0.0	0.00339	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Acidobacteriota|c__Holophagae|o__Holophagales|f__Holophagaceae|g__GGB135198|s__GGB135198_SGB172360|t__SGB172360	0.0	0.0	0.0	0.00284	0.0	0.0	0.0	0.0	0.0	0.0	0.09932
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__SGB10068	0.0	0.0	0.0	0.0	1.99241	0.0	0.0	0.0	0.0	0.57938	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_alactolyticus|t__SGB8017	0.0	0.0	0.0	0.0	0.87475	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_vagans|t__SGB10186	0.0	0.0	0.0	0.0	0.54872	0.15405	0.0	0.0	1.06752	0.0	0.0
