clade_name	SantAnnaMF_2025__SRR30729946	SantAnnaMF_2025__SRR30729947	SantAnnaMF_2025__SRR30729948	SantAnnaMF_2025__SRR30729949	SantAnnaMF_2025__SRR30729950	SantAnnaMF_2025__SRR30729951	SantAnnaMF_2025__SRR30729952	SantAnnaMF_2025__SRR30729953	SantAnnaMF_2025__SRR30729954	SantAnnaMF_2025__SRR30729955	SantAnnaMF_2025__SRR30729956	SantAnnaMF_2025__SRR30729958	SantAnnaMF_2025__SRR30729957	SantAnnaMF_2025__SRR30729959	SantAnnaMF_2025__SRR30729960	SantAnnaMF_2025__SRR30729961	SantAnnaMF_2025__SRR30729962	SantAnnaMF_2025__SRR30729963	SantAnnaMF_2025__SRR30729964	SantAnnaMF_2025__SRR30729965	SantAnnaMF_2025__SRR30729966	SantAnnaMF_2025__SRR30729967	SantAnnaMF_2025__SRR30729968	SantAnnaMF_2025__SRR30729969	SantAnnaMF_2025__SRR30729970	SantAnnaMF_2025__SRR30729971	SantAnnaMF_2025__SRR30729972	SantAnnaMF_2025__SRR30729973	SantAnnaMF_2025__SRR30729974	SantAnnaMF_2025__SRR30729975	SantAnnaMF_2025__SRR30729976	SantAnnaMF_2025__SRR30729977
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__GGB49493|s__GGB49493_SGB69432|t__SGB69432	0.0	0.0	0.0	0.0	0.0	0.0	2.69172	0.0	0.0	0.0	2.94228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Dermabacteraceae|g__Brachybacterium|s__Brachybacterium_SGB93118|t__SGB93118	0.0	0.0	0.0	0.0	0.0	0.0	1.33416	3.81843	0.0	0.0	2.46274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.51626	0.26913	0.0	0.37347	0.87049	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Agrococcus|s__Agrococcus_casei|t__SGB16940	0.0	0.0	0.0	0.0	0.0	0.0	0.3652	0.0	0.0	0.0	0.53609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__GGB129573|s__GGB129573_SGB66234|t__SGB66234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43293	0.0	0.0	0.18497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6847	0.51673	0.0	0.40075	2.71275	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Alkalibacterium|s__Alkalibacterium_gilvum|t__SGB7879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Flaviflexus|s__Flaviflexus_ciconiae|t__SGB33736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_paranthracis|t__SGB7703_group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.76237	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_xylosus|t__SGB7847_group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09579	0.0	3.29854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Marinobacteraceae|g__GGB7989|s__GGB7989_SGB99142|t__SGB99142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.93067	0.88839	0.0	0.0	0.0	0.0	0.17067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_saprophyticus|t__SGB7848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
