	SaakC_2023	SaakC_2023	SaakC_2023	SaakC_2023	SaakC_2023	SaakC_2023	SaakC_2023	SaakC_2023	SaakC_2023	SaakC_2023	SaakC_2023	SaakC_2023	SaakC_2023	SaakC_2023	SaakC_2023	SaakC_2023	SaakC_2023	SaakC_2023
sample	SaakC_2023__SRR17227786	SaakC_2023__SRR17227787	SaakC_2023__SRR17227788	SaakC_2023__SRR17227789	SaakC_2023__SRR17227790	SaakC_2023__SRR17227791	SaakC_2023__SRR17227792	SaakC_2023__SRR17227793	SaakC_2023__SRR17227794	SaakC_2023__SRR17227795	SaakC_2023__SRR17227796	SaakC_2023__SRR17227797	SaakC_2023__SRR17227798	SaakC_2023__SRR17227799	SaakC_2023__SRR17227800	SaakC_2023__SRR17227801	SaakC_2023__SRR17227802	SaakC_2023__SRR17227803
macrocategory	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food
category	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy
type	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese
subtype	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind
country	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA
source	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Leucobacter|s__Leucobacter_sp_G161|t__SGB16932	0.0	0.00027	0.0	0.0	0.09496	0.01717	0.00119	9e-05	1.27852	1.11047	1.6648	0.01163	0.0002	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_celer|t__SGB10449	0.00877	0.02944	0.0	0.0	0.00971	0.00217	0.0069	0.00971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003	0.01265	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_namhaensis|t__SGB23002	0.0	0.03974	0.06088	0.0	0.0	0.0	0.0	0.00045	0.0	3e-05	0.00347	0.00738	0.05	0.0	0.0	0.0	0.00583	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_immobilis|t__SGB10451	0.0	0.00978	0.00707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_SGB100041|t__SGB100041	0.03998	0.91693	0.10991	0.0	0.01149	0.0534	0.00165	0.00269	0.0	0.00186	0.0137	0.07842	1.15243	0.0	0.02197	0.03672	0.04629	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_alimentarius|t__SGB10455	0.49012	1.61775	0.63583	0.0	2.21292	1.24187	1.25177	2.61609	0.1368	0.17378	0.39329	0.56774	2.41187	0.0	0.26692	0.30748	3.286	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_aquimaris|t__SGB23000	0.01085	0.07098	0.15463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00621	0.0034	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_casei|t__SGB11844	0.0	0.0	0.0	0.0	0.02213	0.00462	0.0	0.0	15.7981	15.7083	0.74811	0.01577	0.00313	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Glutamicibacter|s__Glutamicibacter_ardleyensis|t__SGB16746	0.0	0.0	0.0	0.0	0.01231	0.01134	0.00513	0.00081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae|g__Hafnia|s__Hafnia_alvei|t__SGB10209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00047	0.0	0.0	0.01486	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__GGB49922|s__GGB49922_SGB69917|t__SGB69917	0.23452	0.75207	0.0	0.0	5.31626	3.22485	1.63399	0.37145	0.13186	0.19421	0.20051	0.03078	0.0	0.0	4.61199	3.41922	0.04094	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_kanaloae|t__SGB9910	0.0	0.00026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_casei|t__SGB17127	0.0	0.00034	0.0	0.0	0.01448	0.0	0.0	0.0	0.0	0.00208	0.03492	0.0	0.0	0.0	0.00325	0.00722	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Ruoffia|s__Ruoffia_tabacinasalis|t__SGB25051	0.0	0.0	0.0	0.0	0.04177	0.00231	0.01037	0.00095	0.63467	0.80823	4.17883	1.92961	0.02186	0.0	0.01488	0.00144	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Marinobacteraceae|g__GGB7989|s__GGB7989_SGB99142|t__SGB99142	0.0001	0.00322	0.0	0.0	0.06597	0.0091	0.0	0.0	0.24031	0.36281	0.07029	0.0	0.0	0.0	0.43845	0.17584	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Vreelandella|s__Vreelandella_alkaliphila|t__SGB11826	0.0	0.0	0.0	0.0	0.31285	0.08821	0.0	0.0	1.1038	0.78051	0.01197	0.00108	0.0	0.0	0.0	0.00644	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Providencia|s__Providencia_heimbachae|t__SGB10009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19921	0.25799	0.0783	0.02267	0.00452	0.0	0.00064	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Dermabacteraceae|g__Brachybacterium|s__Brachybacterium_SGB93118|t__SGB93118	0.0	0.0	0.0	0.0	0.01697	0.0064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00814	0.02037	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_helveticus|t__SGB7048	0.0	0.0	0.0	0.01805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_SGB69225|t__SGB69225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.06719	0.67703	0.00455	0.0	0.0	0.0	0.00123	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Alkalibacterium|s__Alkalibacterium_gilvum|t__SGB7879	0.0	0.00251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04444	0.00983	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia|s__Serratia_proteamaculans|t__SGB10258	0.0	0.0	0.0	0.0	0.04644	0.01691	0.00985	0.00542	10.66708	6.29018	1.801	1.21419	9.15497	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_saprophyticus|t__SGB7848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_succinus|t__SGB7842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00068	0.01547	0.01262	0.09218	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus|t__SGB8002	0.12399	0.31608	8.28499	88.80619	0.13493	0.18183	0.09349	0.11428	0.15068	0.15545	0.0548	0.04738	0.90956	54.96464	0.4847	0.32266	0.04626	16.75342
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Cobetia|s__Cobetia_marina|t__SGB11854	0.0	0.0	0.063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_delbrueckii|t__SGB7020	0.0	0.0	0.0	0.04002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17963
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Psychroflexus|s__Psychroflexus_halocasei|t__SGB2909	0.0	0.0	0.0	0.0	0.02623	0.00389	0.0	0.0	0.37418	0.63839	0.04659	0.0	0.0	0.0	0.0	0.0	0.0	0.0
