clade_name	SirenK_2019__ERR3094541	SirenK_2019__ERR3094543	SirenK_2019__ERR3094540	SirenK_2019__ERR3094542	SirenK_2019__ERR3094547	SirenK_2019__ERR3094549	SirenK_2019__ERR3094548	SirenK_2019__ERR3094545	SirenK_2019__ERR3094546	SirenK_2019__ERR3094544
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Agathobacter|s__Agathobacter_rectalis|t__SGB4933	0.0	0.0	0.0	0.00803	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_modestum|t__SGB16954	0.0	0.0	0.0	0.00637	0.0	0.0	0.0	0.00317	0.00575	0.00077
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Pseudarthrobacter|s__Pseudarthrobacter_sp_fls2_241_R2A_127|t__SGB175537	0.0	0.0	0.0	0.00542	0.0	0.0	0.0	0.0	0.00048	0.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia|s__Paraburkholderia_fungorum|t__SGB13048	0.0	0.0	0.0	0.00256	0.0	0.0	0.0	8e-05	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Beijerinckiaceae|g__Methylocella|s__Methylocella_sp_CPCC_101449|t__SGB133145	0.0	0.0	0.0	0.00015	0.0	0.0	0.0	7e-05	0.00345	0.0
k__Bacteria|p__Bacteroidota|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Hydrotalea|s__Hydrotalea_flava|t__SGB27684	0.0	0.0	0.0	0.00013	0.00109	0.0	0.0	0.01241	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_hominis|t__SGB7858	0.0	0.0	0.0	0.0	0.26775	0.0	0.0	0.01228	0.0	0.0
k__Bacteria|p__Bacteroidota|c__CFGB7709|o__OFGB7709|f__FGB7709|g__GGB109097|s__GGB109097_SGB194434|t__SGB194434	0.0	0.0	0.0	0.0	0.22234	0.0	0.0	0.0	0.16707	0.0
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Penicillium|s__Penicillium_expansum|t__EUK27334	0.0	0.0	0.0	0.0	0.11567	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Asinibacterium|s__Asinibacterium_sp_OR53|t__SGB27679	0.0	0.0	0.0	0.0	0.00961	0.0	0.0	0.00012	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Legionella|s__Legionella_steelei|t__SGB13659	0.0	0.0	0.0	0.0	0.00349	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Herbaspirillum|s__Herbaspirillum_sp_SJZ107|t__SGB179476	0.0	0.0	0.0	0.0	0.00113	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Nitrobacteraceae|g__Bradyrhizobium|s__Bradyrhizobium_erythrophlei|t__SGB11350	0.0	0.0	0.0	0.0	0.00067	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_swidsinskii|t__SGB17307	0.0	0.0	0.0	0.0	0.0	0.54125	0.0	0.00659	0.00176	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis|t__SGB17302	0.0	0.0	0.0	0.0	0.0	0.05265	0.0	0.0	0.29391	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis|t__SGB8168_group	0.0	0.0	0.0	0.0	0.0	0.0	0.85831	0.06177	0.00375	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Dermabacteraceae|g__Brachybacterium|s__Brachybacterium_paraconglomeratum|t__SGB16648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.61682	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Micrococcus|s__Micrococcus_endophyticus|t__SGB16677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.56092	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Aerococcus|s__Aerococcus_urinaeequi|t__SGB7897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66548	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_arlettae|t__SGB7838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16845	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Kytococcaceae|g__Kytococcus|s__Kytococcus_sedentarius|t__SGB16000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11546	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Kocuria|s__Kocuria_palustris|t__SGB16663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0796	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium_lacticum|t__SGB16913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06667	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Kytococcaceae|g__Kytococcus|s__Kytococcus_aerolatus|t__SGB16001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05542	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_accolens|t__SGB17099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03042	0.91547	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_casei|t__SGB16643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02326	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Dermabacteraceae|g__Brachybacterium|s__Brachybacterium_muris|t__SGB16646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02078	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_xerosis|t__SGB17082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01177	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Intrasporangiaceae|g__Janibacter|s__Janibacter_indicus|t__SGB16017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00722	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales|f__Lysobacteraceae|g__Pseudoxanthomonas|s__Pseudoxanthomonas_mexicana|t__SGB88901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00471	0.0	0.0
