sample	MASTER_WP4_MATIS_1__S1-19	MASTER_WP4_MATIS_1__S2-18	MASTER_WP4_MATIS_1__S2-19	MASTER_WP4_MATIS_1__S3-18	MASTER_WP4_MATIS_1__S3-19	MASTER_WP4_MATIS_1__S4-18	MASTER_WP4_MATIS_1__S4-19	MASTER_WP4_MATIS_1__S6-19	MASTER_WP4_MATIS_1__S6-42
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_tritici|t__SGB12144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03288
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_edaphica|t__SGB12157	0.0	0.0	0.0	0.0	0.0	0.0	0.7522	0.0	1.62737
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_sp_WS_5010|t__SGB89069	0.0	0.28565	1.79022	0.0	0.0	0.0	0.0	0.0	0.14056
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_shahriarae|t__SGB12163	0.0	9.69155	8.49331	0.0	0.0	0.0	0.0	0.0	8.94512
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_gessardii|t__SGB12162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13392
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Galactobacter|s__Galactobacter_caseinivorans|t__SGB35098	0.99735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_fluorescens|t__SGB12213	0.0	0.0	0.0	0.0	0.10092	0.0	0.0	0.0	3.29234
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium_frigidarium|t__SGB145824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.27587
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Chryseobacterium|s__Chryseobacterium_carnipullorum|t__SGB2594	0.0	0.0	0.0	0.0	0.0	0.0	0.4039	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium_bizetiae|t__SGB78964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19207
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_harbinensis|t__SGB31329	5.30344	2.83639	2.83262	5.97621	2.76358	12.81348	11.34773	0.0	0.42372
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Macrococcoides|s__Macrococcoides_bohemicum|t__SGB7867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23025
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_weihenstephanensis|t__SGB12100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04745
