dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	Part_of_cheese	Milk_source	Animal_feeding	Milk_processing	Thermisation	Pasteurization	Skimming	Inoculation_of_moulds	Curd_cutting	Presence_of_rind	Backslopping	Starter_culture	Technology_of_production	Coagulation_method	Ripening_period	Rheological_properties	Temperature_of_curd_processing_Celsius_degree	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
FontanaF_2023	SRR20746916	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094281	SRR20746916	SRX16767150	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	12/26/2021	1491843910	10499817	75	149.0	137.0983448	150.0	5238	2	4	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746937	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094262	SRR20746937	SRX16767129	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina HiSeq X	DNeasy_PowerFood_Microbial_Kit	11/17/2021	1574367099	10561547	75	150.0	148.226887	151.0	5878	1	3	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746964	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094220	SRR20746964	SRX16767102	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	10/26/2021	1547160653	10568404	75	149.0	144.3440906	150.0	7840	2	9	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746946	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094236	SRR20746946	SRX16767120	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	10/22/2021	1588395169	10661505	75	150.0	147.9276084	151.0	2621	2	0	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746928	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094270	SRR20746928	SRX16767138	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	11/25/2021	1557745392	10665715	75	149.0	144.0235947	150.0	3281	0	4	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746868	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094290	SRR20746868	SRX16767198	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	12/15/2021	1585839465	10692729	75	150.0	146.8446625	151.0	7355	2	2	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746831	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094241	SRR20746831	SRX16767235	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	10/27/2021	1586173041	10770804	75	149.0	145.7755144	150.0	4249	3	3	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746865	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094293	SRR20746865	SRX16767201	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	12/18/2021	1610569938	10813241	75	150.0	147.9091852	151.0	6573	0	1	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746876	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094200	SRR20746876	SRX16767190	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	9/16/2021	1603215356	10894353	75	149.0	145.6078351	150.0	1515	2	0	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746925	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094273	SRR20746925	SRX16767141	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	11/28/2021	1608165548	10905202	75	149.0	146.0978268	150.0	5809	2	3	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746961	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094223	SRR20746961	SRX16767105	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	10/29/2021	1618957866	11068499	75	149.0	144.0392741	150.0	1661	0	3	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746830	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094242	SRR20746830	SRX16767236	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	10/28/2021	1657583776	11115262	75	150.0	148.542104	151.0	2007	1	1	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746947	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094235	SRR20746947	SRX16767119	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	10/21/2021	1658156149	11246616	75	149.0	145.8362134	150.0	2873	1	3	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746836	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094319	SRR20746836	SRX16767230	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	1/13/2022	1665938997	11312606	75	149.0	145.7935404	150.0	2296	0	2	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746851	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094305	SRR20746851	SRX16767215	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	12/30/2021	1667632333	11347274	75	149.0	145.2897886	150.0	5213	0	4	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746959	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094224	SRR20746959	SRX16767107	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	10/30/2021	1682334417	11480171	75	150.0	142.8446924	151.0	2578	1	3	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746838	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094317	SRR20746838	SRX16767228	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	1/11/2022	1736134601	11672313	75	150.0	147.6737078	151.0	7185	4	2	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746950	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094233	SRR20746950	SRX16767116	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	10/19/2021	1658028797	11712220	75	149.0	137.3332947	150.0	1508	2	0	0	0	no	Liam_Walsh
