sample	FalardeauJ_2023__SRR20811130	FalardeauJ_2023__SRR20811131	FalardeauJ_2023__SRR20811132	FalardeauJ_2023__SRR20811133	FalardeauJ_2023__SRR20811134	FalardeauJ_2023__SRR20811136	FalardeauJ_2023__SRR20811137	FalardeauJ_2023__SRR20811138	FalardeauJ_2023__SRR20811139	FalardeauJ_2023__SRR20811140	FalardeauJ_2023__SRR20811141	FalardeauJ_2023__SRR20811142	FalardeauJ_2023__SRR20811143	FalardeauJ_2023__SRR20811144	FalardeauJ_2023__SRR20811145	FalardeauJ_2023__SRR20811147	FalardeauJ_2023__SRR20811148	FalardeauJ_2023__SRR20811149	FalardeauJ_2023__SRR20811150	FalardeauJ_2023__SRR20811151	FalardeauJ_2023__SRR20811152	FalardeauJ_2023__SRR20811153	FalardeauJ_2023__SRR20811174	FalardeauJ_2023__SRR20811175	FalardeauJ_2023__SRR20811176	FalardeauJ_2023__SRR20811178	FalardeauJ_2023__SRR20811179	FalardeauJ_2023__SRR20811221	FalardeauJ_2023__SRR20811222	FalardeauJ_2023__SRR20811223	FalardeauJ_2023__SRR20811224	FalardeauJ_2023__SRR20811227	FalardeauJ_2023__SRR20811228	FalardeauJ_2023__SRR20811229	FalardeauJ_2023__SRR20811270	FalardeauJ_2023__SRR20811271	FalardeauJ_2023__SRR20811272	FalardeauJ_2023__SRR20811273	FalardeauJ_2023__SRR20811274	FalardeauJ_2023__SRR20811275	FalardeauJ_2023__SRR20811276	FalardeauJ_2023__SRR20811278	FalardeauJ_2023__SRR20811279	FalardeauJ_2023__SRR20811280	FalardeauJ_2023__SRR20811281	FalardeauJ_2023__SRR20811282	FalardeauJ_2023__SRR20811283	FalardeauJ_2023__SRR20811284	FalardeauJ_2023__SRR20811285	FalardeauJ_2023__SRR20811286	FalardeauJ_2023__SRR20811287	FalardeauJ_2023__SRR20811289	FalardeauJ_2023__SRR20811290	FalardeauJ_2023__SRR20811291	FalardeauJ_2023__SRR20811292	FalardeauJ_2023__SRR20811293
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_SGB69225|t__SGB69225	0.37673	0.14337	0.15947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.60698
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Glutamicibacter|s__Glutamicibacter_arilaitensis|t__SGB16749	0.3603	0.25368	0.12416	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12713	0.08003	0.11581	0.02546	0.0	0.0	0.0	0.0	1.15132	1.57938	4.20075	2.07289	0.52674	0.00618	0.0	0.0	0.0	0.14509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40223
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Psychroflexus|s__Psychroflexus_halocasei|t__SGB2909	0.27976	0.1447	0.36123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43447	0.5926	2.57396	1.85339	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08652
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_casei|t__SGB17127	0.10708	0.06077	0.05964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00709	1.26249	1.38335	0.86144	0.57241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13567
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_litoralis|t__SGB23030	0.10551	0.11843	0.23576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05844	0.06072	0.18793	0.0	0.0	1.41567	6.99479	0.63636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29318	0.0	0.03754	0.01218
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_sp_FME1|t__SGB11844	0.09641	0.03643	0.02993	13.85313	0.0	0.0	0.90176	0.0	0.0	11.98578	1.52259	0.16591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02068	0.0	0.0	0.0	0.03329	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02033	0.0	0.0	0.0	0.0	1.04166	0.0	0.09137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Alkalibacterium|s__Alkalibacterium_putridalgicola|t__SGB7877	0.0487	0.08471	0.02422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09639
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae|g__Hafnia|s__Hafnia_paralvei|t__SGB10207	0.0	0.0	0.0	15.26873	27.29179	43.36839	8.44952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.66681	12.8245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae|g__Brochothrix|s__Brochothrix_thermosphacta|t__SGB7517	0.0	0.0	0.0	15.21462	8.40712	3.37021	8.91882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24914	0.0	0.0	0.0	0.62126	0.0363	0.13775	0.05093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.62792	13.86269	4.98308	0.52362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_immobilis|t__SGB10459	0.0	0.0	0.0	10.63963	0.23347	0.96377	0.13273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14776	0.0	0.08268	0.0	31.2896	30.88658	35.53591	26.65865	0.00388	0.14789	0.34153	0.33506	0.07887	0.0	0.0	0.0	7.20223	7.54003	1.51996	1.18586	0.05498	0.03821	0.0	0.0	2.24041	4.49306	0.34863	0.0	0.21483	1.17858	0.34907	2.04591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
