clade_name	IndioV_2024__SRR27183618	IndioV_2024__SRR27183619	IndioV_2024__SRR27183620	IndioV_2024__SRR27183621	IndioV_2024__SRR27183622	IndioV_2024__SRR27183623	IndioV_2024__SRR27183624	IndioV_2024__SRR27183625	IndioV_2024__SRR27183626	IndioV_2024__SRR27183629	IndioV_2024__SRR27183630
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactiplantibacillus|s__Lactiplantibacillus_paraplantarum|t__SGB7201	0.0	0.13558	0.0	0.0	6.07312	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_freudenreichii|t__SGB15904	0.0	0.06306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_viikkiensis|t__SGB49090	0.0	0.04726	0.0	0.0	0.05752	0.0	0.0	0.0	0.0	0.0	0.32457
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Acidipropionibacterium|s__Acidipropionibacterium_jensenii|t__SGB35146	0.0	0.0449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium_lacticum|t__SGB16913	0.0	0.01662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_mesenteroides|t__SGB7126	0.0	0.0157	0.0	0.0	0.0	0.0	0.53314	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Kitasatosporales|f__Streptomycetaceae|g__GGB71909|s__GGB71909_SGB98927|t__SGB98927	0.0	0.00935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Companilactobacillus|s__Companilactobacillus_versmoldensis|t__SGB7231	0.0	0.00833	0.0	0.0	0.12279	0.0	0.0	0.0	0.0	0.0	0.0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Debaryomyces|s__Debaryomyces_hansenii_group_1|t__EUK4959_1	0.0	0.00799	6.65093	6.63171	0.0	2.3005	0.0	0.0	0.0	6.44864	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Kitasatosporales|f__Streptomycetaceae|g__GGB81279|s__GGB81279_SGB98925|t__SGB98925	0.0	0.00565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
