sample	AlmeidaO_2020__SRR8742576	AlmeidaO_2020__SRR8742577	AlmeidaO_2020__SRR8742578	AlmeidaO_2020__SRR8742579	AlmeidaO_2020__SRR8742580	AlmeidaO_2020__SRR8742581	AlmeidaO_2020__SRR8742582	AlmeidaO_2020__SRR8742584	AlmeidaO_2020__SRR8742585
macrocategory	food	food	food	food	food	food	food	food	food
category	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds
type	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans
subtype									
country	BRA	BRA	BRA	BRA	BRA	BRA	BRA	BRA	BRA
source	public	public	public	public	public	public	public	public	public
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_fabarum|t__SGB1190	0.0	0.0	0.0	0.0	0.0	0.0022	0.01754	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Bordetella|s__Bordetella_sp_02P26C_1|t__SGB88693	0.0	0.0	0.0	0.0	0.0	0.00103	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_telephonicus|t__SGB29947	0.0	0.0	0.0	0.0	0.0	9e-05	0.0	0.02512	0.01441
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_SGB69209|t__SGB69209	0.0	0.0	0.0	0.0	0.0	0.0	0.01435	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_kanchanaburiensis|t__SGB89213	0.0	0.0	0.0	0.0	0.0	0.0	0.01217	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_vitians|t__SGB89211	0.0	0.0	0.0	0.0	0.0	0.0	0.00937	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_aidae|t__SGB89210	0.0	0.0	0.0	0.0	0.0	0.0	0.00874	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_orientalis|t__SGB1187	0.0	0.0	0.0	0.0	0.0	0.0	0.00698	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_roseus|t__SGB1167	0.0	0.0	0.0	0.0	0.0	0.0	0.00457	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_frateurii|t__SGB1163	0.0	0.0	0.0	0.0	0.0	0.0	0.00099	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_morbifer|t__SGB1168	0.0	0.0	0.0	0.0	0.0	0.0	0.00093	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactiplantibacillus|s__Lactiplantibacillus_fabifermentans|t__SGB7203	0.0	0.0	0.0	0.0	0.0	0.0	0.00072	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_potus|t__SGB1166	0.0	0.0	0.0	0.0	0.0	0.0	0.00039	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_thailandicus|t__SGB1162	0.0	0.0	0.0	0.0	0.0	0.0	0.00012	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus|s__Pediococcus_acidilactici|t__SGB7168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0552	0.0
