dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_bases	n_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_(HQ+MQ)	n_MAGs_MQ	n_MAGs_HQ	n_MAGs_all	filtered	curator
AlvarezOrdonezA_xxxx	C08-16	food	meat	cured_meat_before_ripening	cured_meat_before_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8138456176	56069461	75	151.0	145.1495347173036	151	91645	0	0	0	4		Niccolò Carlino
AlvarezOrdonezA_xxxx	C08-17	food	meat	cured_meat_before_ripening	cured_meat_before_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7588191620	51655226	75	151.0	146.90075346877776	151	99037	0	0	0	8		Niccolò Carlino
AlvarezOrdonezA_xxxx	C08-18	food	fermented_meat	meat	cured_meat_after_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9731123792	66331579	75	151.0	146.7042385950137	151	28999	1	1	0	15		Niccolò Carlino
AlvarezOrdonezA_xxxx	C08-19	food	fermented_meat	meat	cured_meat_after_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9728050344	66010064	75	151.0	147.37223014963294	151	22652	0	0	0	14		Niccolò Carlino
AlvarezOrdonezA_xxxx	F01-16	food	meat	sausage_before_ripening	sausage_before_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8064393140	54819737	75	151.0	147.10747590781037	151	198031	2	1	1	13		Niccolò Carlino
AlvarezOrdonezA_xxxx	F01-17	food	meat	sausage_before_ripening	sausage_before_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		6066336671	41407338	75	151.0	146.50390399402156	151	118436	2	1	1	7		Niccolò Carlino
AlvarezOrdonezA_xxxx	F01-18	food	fermented_meat	meat	sausage_after_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		6453462670	43620970	75	151.0	147.94404319757217	151	110664	2	2	0	12		Niccolò Carlino
AlvarezOrdonezA_xxxx	F01-19	food	fermented_meat	meat	sausage_after_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8244455228	56644988	75	151.0	145.54606716484784	151	168960	2	2	0	8		Niccolò Carlino
AlvarezOrdonezA_xxxx	F01-31A	food	meat	meat_batter	meat_batter		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		6867988128	46267409	75	151.0	148.4411657458493	151	178467	0	0	0	8		Niccolò Carlino
AlvarezOrdonezA_xxxx	F01-31B	food	meat	meat_batter	meat_batter		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7367493178	49562944	75	151.0	148.64922426722674	151	198283	1	1	0	9		Niccolò Carlino
