mag	dataset_name	sample_id	sgb_id	Unknown	Level of assigned taxonomy	superkingdom	phylum	class	order	family	genus	species	genome_size	# contigs	N50 (contigs)	completeness	contamination	GC	strain_heterogeneity
ArikanM_2020__ERS1939655__bin.12	ArikanM_2020	ERS1939655	SGB16955	kSGB	Species	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium_acnes	1465581	489	3150	64.58629078	0.9179248935	0.6026306291	14.29
ArikanM_2020__ERS1939655__bin.2	ArikanM_2020	ERS1939655	SGB3303	uSGB	Other	Bacteria	Proteobacteria	CFGB894	OFGB894	FGB894	GGB2413	GGB2413_SGB3303	2819893	152	29279	95.37037037	0	0.6062804511	0
ArikanM_2020__ERS1939655__bin.3	ArikanM_2020	ERS1939655	SGB93705	ufSGB	Family	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Hymenobacteraceae	GGB69515	GGB69515_SGB93705	3357933	132	41638	100	0.3115264798	0.692234181	0
ArikanM_2020__ERS1939656__bin.6	ArikanM_2020	ERS1939656	SGB93705	ufSGB	Family	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Hymenobacteraceae	GGB69515	GGB69515_SGB93705	3119926	793	4789	83.33631977	3.566978193	0.6889942261	0
ArikanM_2020__ERS1939655__bin.6	ArikanM_2020	ERS1939655	SGB88954	kSGB	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Vulcaniibacterium	Vulcaniibacterium_thermophilum	2635940	486	7316	85.41781351	1.293103448	0.7109084425	12.5
ArikanM_2020__ERS1939655__bin.9	ArikanM_2020	ERS1939655	SGB17564	kSGB	Species	Bacteria	Deinococcus_Thermus	Deinococci	Thermales	Thermaceae	Thermus	Thermus_scotoductus	1632693	439	4380	76.37390858	1.694915254	0.6476196076	0
LeechJ_2020__ERS3967738__bin.3	LeechJ_2020	ERS3967738	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	1594207	403	4353	53.70452291	1.892361111	0.4629216908	14.29
MASTER_WP4_CSIC_2__P2599__bin.21	MASTER_WP4_CSIC_2	P2599	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	2193323	184	17750	92.73958333	1.71875	0.4611117469	80
MASTER_WP4_UNINA_1__PR207_71775__bin.3	MASTER_WP4_UNINA_1	PR207_71775	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	1600836	316	5616	71.86458333	3.197916667	0.4615332239	0
HeilCS_2018__Old_Warehouse_metagenome__bin.8	HeilCS_2018	Old_Warehouse_metagenome	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	1805201	424	4890	76.0002762	0.01953125	0.4624991898	100
