clade_name	GianvitoDP_2025__SRR31346740	GianvitoDP_2025__SRR31346739	GianvitoDP_2025__SRR31346742	GianvitoDP_2025__SRR31346743	GianvitoDP_2025__SRR31346744	GianvitoDP_2025__SRR31346745	GianvitoDP_2025__SRR31346746	GianvitoDP_2025__SRR31346747	GianvitoDP_2025__SRR31346748	GianvitoDP_2025__SRR31346749
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Neorhizobium|s__Neorhizobium_turbinariae|t__SGB24506	0.09038	0.0	0.0	0.0552	0.00438	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Salinicoccus|s__Salinicoccus_SGB96907|t__SGB96907	0.08799	0.0	0.0	0.0	0.0	0.21443	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Caryophanaceae|g__Planococcus|s__Planococcus_glaciei|t__SGB7605	0.08777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02229	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Paracoccus|s__Paracoccus_aerius|t__SGB90455	0.08677	0.0	0.0	0.00553	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodospirillales|f__Azospirillaceae|g__Skermanella|s__Skermanella_aerolata|t__SGB11248	0.077	0.1405	0.06133	0.08877	0.019	0.04219	0.07334	0.0	0.04344	0.00086
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Priestia|s__Priestia_megaterium|t__SGB7678	0.07265	0.00136	0.10197	0.11271	0.11171	0.19317	0.55693	0.03732	0.09321	0.01859
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Kitasatosporales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_pilosus|t__SGB87113	0.0677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae|g__Microvirga|s__Microvirga_soli|t__SGB94002	0.06446	0.0	0.0	0.02067	0.01321	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Paracoccus|s__Paracoccus_acridae|t__SGB31420	0.06419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Devosiaceae|g__Devosia|s__Devosia_submarina|t__SGB32005	0.06346	0.0	0.0	0.01614	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium_flavescens|t__SGB93165	0.05802	0.01695	0.00648	0.22447	0.0	0.0	0.0	0.0	0.11049	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_putida|t__SGB12303	0.05395	1.37142	0.10016	0.0	0.1221	0.59401	0.0	0.0	1.82227	1.13497
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae|g__Methylorubrum|s__Methylorubrum_extorquens|t__SGB11392	0.05322	0.07741	0.0	0.13477	0.03156	0.0242	0.10905	0.0	0.01487	0.06637
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Frigoribacterium|s__Frigoribacterium_faeni|t__SGB16814	0.04737	1.20914	0.80757	0.26416	2.50849	1.28485	1.27637	1.19813	4.80122	3.09801
k__Bacteria|p__Bacteroidota|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Adhaeribacter|s__Adhaeribacter_radiodurans|t__SGB84667	0.03816	0.0	0.0	0.0	0.01188	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Aurantimonadaceae|g__Aureimonas|s__Aureimonas_sp_AU22|t__SGB32174	0.02858	0.00938	0.04586	0.03525	0.02641	0.0	0.0	0.0	0.0	0.0
