sample	LandisEA_2021__SRS5652903	LandisEA_2021__SRS5652913	LandisEA_2021__SRS5652926	LandisEA_2021__SRS5652931	LandisEA_2021__SRS5652933	LandisEA_2021__SRS5652970	LandisEA_2021__SRS5652972	LandisEA_2021__SRS5652990	LandisEA_2021__SRS5652995	LandisEA_2021__SRS5653013	LandisEA_2021__SRS5653047	LandisEA_2021__SRS5653049	LandisEA_2021__SRS5653081	LandisEA_2021__SRS5653094	LandisEA_2021__SRS5653126	LandisEA_2021__SRS5653128	LandisEA_2021__SRS5653132	LandisEA_2021__SRS5653137	LandisEA_2021__SRS5653152	LandisEA_2021__SRS5653155	LandisEA_2021__SRS5653156	LandisEA_2021__SRS5653168	LandisEA_2021__SRS5653198	LandisEA_2021__SRS5653199	LandisEA_2021__SRS5653217	LandisEA_2021__SRS5653219	LandisEA_2021__SRS5653248	LandisEA_2021__SRS5653250	LandisEA_2021__SRS5653255	LandisEA_2021__SRS5653276	LandisEA_2021__SRS5653283	LandisEA_2021__SRS5653318	LandisEA_2021__SRS5653333	LandisEA_2021__SRS5653346	LandisEA_2021__SRS5653374	LandisEA_2021__SRS5653388	LandisEA_2021__SRS5653391	LandisEA_2021__SRS5653393	LandisEA_2021__SRS5653396	LandisEA_2021__SRS5653399
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Schleiferilactobacillus|s__Schleiferilactobacillus_perolens|t__SGB7135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lentilactobacillus|s__Lentilactobacillus_diolivorans|t__SGB7225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.47123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus|s__Pediococcus_inopinatus|t__SGB7177	0.0	0.0	0.0	68.08214	96.39858	55.54802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.54842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.15347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Pichiaceae|g__Pichia|s__Pichia_membranifaciens_group_1|t__EUK4926_1	0.0	0.12503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48994	0.0	0.0	0.0	0.0	0.0	0.27815	0.0	0.57926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Companilactobacillus|s__Companilactobacillus_crustorum|t__SGB7242	5.3565	10.91913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.30543	28.85357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04224
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Companilactobacillus|s__Companilactobacillus_musae|t__SGB29555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.19899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_pomorum|t__SGB1194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00122	1.296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.03121	0.0	0.0	0.95199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.53484	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Komagataeibacter|s__Komagataeibacter_saccharivorans|t__SGB24153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_cerinus|t__SGB1160	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Komagataeibacter|s__Komagataeibacter_xylinus|t__SGB24156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1218	0.0	0.37986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
