clade_name	VermoteL_2025__ERR15089274	VermoteL_2025__ERR15089273	VermoteL_2025__ERR15089272	VermoteL_2025__ERR15089271	VermoteL_2025__ERR15089279	VermoteL_2025__ERR15089278	VermoteL_2025__ERR15089280	VermoteL_2025__ERR15089276	VermoteL_2025__ERR15089282	VermoteL_2025__ERR15089283	VermoteL_2025__ERR15089275	VermoteL_2025__ERR15089284	VermoteL_2025__ERR15089290	VermoteL_2025__ERR15089289	VermoteL_2025__ERR15089288	VermoteL_2025__ERR15089287	VermoteL_2025__ERR15089286	VermoteL_2025__ERR15089285	VermoteL_2025__ERR15089291	VermoteL_2025__ERR15089293	VermoteL_2025__ERR15089292
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_hormaechei|t__SGB10130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1415	0.10741	0.0	0.0	0.0	0.13588	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Leclercia|s__Leclercia_adecarboxylata|t__SGB10147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12534	0.0937	0.0	0.0	0.0	0.05086	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Erwinia|s__Erwinia_persicina|t__SGB31230	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1198	0.12985	0.0	0.0	0.00443	0.09974	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_pseudomesenteroides|t__SGB69408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11892	0.08675	0.0	0.0	0.0	0.11729	0.0	0.01306	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecium|t__SGB7967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10729	0.08204	0.0	0.0	0.0	0.09265	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_gallinarum|t__SGB7835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10451	0.09631	0.0	0.0	0.0	0.09691	0.0	0.03706	0.0	0.0	0.0	0.0	0.0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Nakaseomyces|s__Candida_glabrata|t__EUK5478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09988	0.10719	0.0	0.0	0.05392	0.67402	2.38988	0.0	0.0	0.0	0.01247	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Lelliottia|s__Lelliottia_amnigena|t__SGB10142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0946	0.07306	0.0	0.0	0.0	0.04624	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_ascendens|t__SGB1195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08448	0.20083	0.0	0.0	0.65055	0.0	0.0	0.0	0.0	0.0	54.22471	0.12452	75.31791
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_kobei|t__SGB10102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08062	0.09599	0.0	0.0	0.01493	0.03211	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Weissella|s__Weissella_cibaria|t__SGB7114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06634	0.05895	0.0	0.0	0.01807	1.17191	0.04967	0.0	0.0	0.0	0.0	10.77361	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_alfalfae|t__SGB58213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06478	0.07952	0.0	0.0	0.0	0.01958	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Leclercia|s__Leclercia_tamurae|t__SGB23259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06298	0.04694	0.0	0.0	0.0	0.00604	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_falkenbergense|t__SGB7124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05483	0.02872	0.0	0.0	0.00803	0.09412	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus|s__Pediococcus_acidilactici|t__SGB7168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05424	0.03275	0.0	0.0	0.0	0.02285	0.0	0.0	0.0	0.0	0.0	0.22135	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Pseudescherichia|s__Pseudescherichia_vulneris|t__SGB38368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05099	0.03645	0.0	0.0	0.00265	0.01673	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_asburiae|t__SGB10141_group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04226	0.07665	0.0	0.0	0.02479	0.00745	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Mixta|s__Mixta_gaviniae|t__SGB10160	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04108	0.02069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Weissella|s__Weissella_confusa|t__SGB7115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03774	0.01378	0.0	0.0	0.0	0.1394	0.0	0.0	0.0	0.0	0.0	54.81349	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Erwinia|s__Erwinia_persicina|t__SGB31225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03732	0.01785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Pseudescherichia|s__Pseudescherichia_vulneris|t__SGB10097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03477	0.09024	0.0	0.0	0.00221	0.0184	0.0	0.0	0.0	0.0	0.00644	0.0	0.00327
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Latilactobacillus|s__Latilactobacillus_sakei|t__SGB7248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02928	0.00822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis|t__SGB7985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02855	0.01844	0.0	0.0	0.03747	0.1033	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Rahnella|s__Rahnella_inusitata|t__SGB31286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02831	0.0186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus|s__Pediococcus_SGB64256|t__SGB64256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02107	0.0066	0.0	0.0	0.0	0.03044	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Weissella|s__Weissella_paramesenteroides|t__SGB7118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0149	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Cronobacter|s__Cronobacter_sakazakii|t__SGB10090	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02001	0.01236	0.0	0.0	0.0	0.04743	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_sp_CCBC3_3_1|t__SGB81783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01866	0.0147	0.0	0.0	0.0	0.00379	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Lelliottia|s__Lelliottia_amnigena|t__SGB10143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Fructilactobacillus|s__Fructilactobacillus_fructivorans|t__SGB7161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01135	0.01682	0.0	0.01061	0.0	0.0	0.0	0.0	0.02822	0.05157	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Leclercia|s__Leclercia_adecarboxylata|t__SGB38386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00892	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_mori|t__SGB10132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Companilactobacillus|s__Companilactobacillus_nuruki|t__SGB7243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00628	0.00148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_hermanniensis|t__SGB7934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00572	0.00468	0.0	0.0	0.0	0.00693	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_sp_IMH|t__SGB31231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__GGB26309|s__GGB26309_SGB38361|t__SGB38361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Mixta|s__Mixta_sp_Marseille_Q2659|t__SGB110055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Superficieibacter|s__Superficieibacter_sp_1612_C1|t__SGB58209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_allii|t__SGB10193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_cancerogenus|t__SGB10128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Siccibacter|s__Siccibacter_turicensis|t__SGB23238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Furfurilactobacillus|s__Furfurilactobacillus_rossiae|t__SGB7165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00376	0.0	0.017	0.08574	0.04754	0.0	0.0	0.0	0.00763	0.00799	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_holzapfelii|t__SGB80438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00708	0.0	0.0	0.0	0.0	0.0	0.00226	0.0	0.00044
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_gelidum|t__SGB96977	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.09306	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_gasicomitatum|t__SGB7127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6268	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Saccharopolyspora|s__Saccharopolyspora_rosea|t__SGB176101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06833	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Kitasatosporales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_cacaoi|t__SGB34432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03557	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_sonorensis|t__SGB7777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00216	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus_fermentum|t__SGB7106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.75947	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus_pontis|t__SGB7090	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.33084	0.0
