sample	MotaGutierrezJ_2021__SRR11602138	MotaGutierrezJ_2021__SRR11602139	MotaGutierrezJ_2021__SRR11602140	MotaGutierrezJ_2021__SRR11602141	MotaGutierrezJ_2021__SRR11602142	MotaGutierrezJ_2021__SRR11602143	MotaGutierrezJ_2021__SRR11602144	MotaGutierrezJ_2021__SRR11602145	MotaGutierrezJ_2021__SRR11602146	MotaGutierrezJ_2021__SRR11602147	MotaGutierrezJ_2021__SRR11602148	MotaGutierrezJ_2021__SRR11602149	MotaGutierrezJ_2021__SRR11602150	MotaGutierrezJ_2021__SRR11602151	MotaGutierrezJ_2021__SRR11602152	MotaGutierrezJ_2021__SRR11602153	MotaGutierrezJ_2021__SRR11602154	MotaGutierrezJ_2021__SRR11602155	MotaGutierrezJ_2021__SRR11602156	MotaGutierrezJ_2021__SRR11602157
macrocategory	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food
category	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds
type	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans
subtype	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass
country	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX
source	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Liquorilactobacillus|s__Liquorilactobacillus_vini|t__SGB7065	0.05172	0.00091	0.00289	0.00506	0.0	0.0	0.0	0.00949	0.0	0.00396	0.0	0.0055	0.0	0.0	0.0	0.00326	0.00595	0.01084	0.01157	0.00143
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Liquorilactobacillus|s__Liquorilactobacillus_nagelii|t__SGB7063	0.04633	1.77064	24.42677	1.03859	49.96235	1.05281	9.68629	0.25658	0.00193	0.74942	35.73456	14.5617	49.59605	1.60039	8.21676	0.24964	14.36071	0.88425	0.03817	0.85694
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Cytobacillus|s__Cytobacillus_sp_Sa5YUA1|t__SGB82814	0.03008	0.038	0.0	0.0	0.0	0.00202	0.0	1.03568	0.00444	0.0	0.0	0.0	0.0	0.0	0.0	0.55835	0.0	0.00093	0.00231	0.05637
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_fabarum|t__SGB1190	0.02494	0.55776	1.84973	7.18328	2.08483	0.95122	4.04005	0.03628	0.42987	1.90065	1.79104	2.73199	3.78489	7.0328	6.19498	0.10393	1.53876	1.90472	0.28959	0.63348
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Weizmannia|s__Weizmannia_coagulans|t__SGB7729	0.02238	0.02471	0.0	0.00165	0.0	0.00056	0.0	0.07596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04868	0.0	0.0	0.00299	0.00047
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Rummeliibacillus|s__Rummeliibacillus_sp_POC4|t__SGB29934	0.02189	0.01575	0.0	0.00084	0.0	0.00539	0.0	0.53329	0.00173	0.00275	0.0	0.0	0.0	0.00066	0.0	0.35483	0.0	0.00373	0.01173	0.01466
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Terribacillus|s__Terribacillus_sp_7520_G|t__SGB7766	0.0204	0.0303	0.0	0.0	0.0	0.01443	0.0	0.0334	0.0	0.0	0.0	0.0	0.0	0.00241	0.0	0.01603	0.0	0.0	0.007	0.03616
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Novacetimonas|s__Novacetimonas_maltaceti|t__SGB24151	0.01899	0.07872	0.14714	0.02569	0.00308	0.0	0.0	0.04903	0.14919	0.3855	0.10813	0.32131	0.01157	0.03802	0.0	0.09612	0.19599	0.13043	0.09714	0.06705
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_okinawensis|t__SGB1191	0.0149	0.60139	1.56745	5.00239	1.78987	2.90577	8.45551	0.03292	0.29766	1.19593	1.96886	2.5732	3.88309	4.626	11.90349	0.05419	1.39999	1.15208	0.13458	0.64829
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus_panis|t__SGB7094	0.01443	0.34421	0.01517	0.0	0.0	0.0	0.0	0.14416	7e-05	0.00078	0.0	0.03044	0.0	0.0	0.0	0.07275	0.07214	0.00055	0.00565	0.19033
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Levilactobacillus|s__Levilactobacillus_brevis|t__SGB7196_group	0.01379	0.16921	2.89591	0.82397	3.13948	0.59229	7.61706	0.0204	0.00261	0.21166	2.85662	1.25459	0.99456	0.516	4.49729	0.00373	1.96775	0.2093	0.00289	0.07146
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Paucilactobacillus|s__Paucilactobacillus_vaccinostercus|t__SGB7173	0.01204	0.03402	0.3445	0.44539	0.33814	0.36874	0.75418	0.00629	0.0	0.25779	0.33626	0.19332	0.26748	0.54586	0.73422	0.00244	0.24927	0.30666	0.00686	0.02486
