clade_name	BandlaA_2020__SRR10585495	BandlaA_2020__SRR10585497	BandlaA_2020__SRR10585498	BandlaA_2020__SRR10585499	BandlaA_2020__SRR10585507	BandlaA_2020__SRR10585513	BandlaA_2020__SRR10585514	BandlaA_2020__SRR10585515	BandlaA_2020__SRR10585516	BandlaA_2020__SRR10585518	BandlaA_2020__SRR10585527	BandlaA_2020__SRR10585528	BandlaA_2020__SRR10585529	BandlaA_2020__SRR10585530	BandlaA_2020__SRR10585531	BandlaA_2020__SRR10585540	BandlaA_2020__SRR10585541	BandlaA_2020__SRR10585542	BandlaA_2020__SRR10585558	BandlaA_2020__SRR10585544	BandlaA_2020__SRR10585559	BandlaA_2020__SRR10585561	BandlaA_2020__SRR10585560
k__Bacteria|p__Acidobacteriota|c__CFGB14527|o__OFGB14527|f__FGB14527|g__GGB52646|s__GGB52646_SGB73528|t__SGB73528	0.30411	0.49925	0.41979	0.39053	0.0	0.01907	0.06596	0.21266	0.15834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales|f__Rhodanobacteraceae|g__Rhodanobacter|s__Rhodanobacter_sp_B04|t__SGB12547	0.28168	0.29888	0.43188	0.23831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Novosphingobium|s__Novosphingobium_pokkalii|t__SGB73452	0.26825	0.60848	1.2323	0.48709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales|f__Lysobacteraceae|g__Pseudoluteimonas|s__Pseudoluteimonas_SGB73374|t__SGB73374	0.25595	0.12242	0.02517	0.16601	0.0	0.30379	3.27241	1.82068	1.31018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Shinella|s__Shinella_zoogloeoides|t__SGB32110	0.25398	0.02793	0.0	0.0	0.0	0.47385	0.71388	0.20423	0.1587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__GGB16207|s__GGB16207_SGB24577|t__SGB24577	0.24725	0.15385	0.11388	0.22953	0.0	0.11708	0.05883	0.30523	0.13791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Nitrobacteraceae|g__GGB52627|s__GGB52627_SGB73507|t__SGB73507	0.21212	0.14759	0.17683	0.10067	0.0	0.7951	0.80948	1.28423	1.36241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Bordetella|s__Bordetella_SGB73393|t__SGB73393	0.20394	0.64615	0.3158	0.27577	0.0	0.01276	0.1521	1.48419	1.5908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB84244|o__OFGB84244|f__FGB84244|g__GGB52239|s__GGB52239_SGB73022|t__SGB73022	0.19878	0.22118	0.13207	0.35148	0.0	1.13245	0.39039	0.78021	1.24569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales|f__Rhodanobacteraceae|g__Dokdonella|s__Dokdonella_fugitiva|t__SGB33020	0.19492	0.20053	0.1115	0.08334	0.0	1.51543	0.6063	0.39234	0.60365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Thiobacillaceae|g__Thiobacillus|s__Thiobacillus_SGB73410|t__SGB73410	0.18948	0.37558	0.38685	0.03161	0.0	0.4618	0.82561	0.42244	0.85287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium|s__Sphingobium_fuliginis|t__SGB11598	0.18838	0.0	0.11999	0.08684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodospirillales|f__Dongiaceae|g__Dongia|s__Dongia_sedimenti|t__SGB183836	0.17832	0.10618	0.25481	0.10039	0.0	0.12843	0.13795	0.15857	0.13859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__GGB2552|s__GGB2552_SGB3463|t__SGB3463	0.17705	0.16981	0.28115	0.28658	0.0	0.16866	0.27278	0.25815	0.40024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Castellaniella|s__Castellaniella_SGB133870|t__SGB133870	0.17201	0.07965	0.03156	0.10461	0.0	0.0	0.0	0.32317	0.12227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales|f__Rhodanobacteraceae|g__Dyella|s__Dyella_SGB73384|t__SGB73384	0.17107	0.46136	0.0	0.03322	0.0	0.19622	0.04189	0.17731	2.31204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Streptosporangiales|f__Thermomonosporaceae|g__Actinomadura|s__Actinomadura_nitritigenes|t__SGB87324	0.14297	0.18283	0.19274	0.0	0.0	0.03996	0.0	0.2135	0.17608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_oligoaromativorans|t__SGB73462	0.14037	0.16367	0.17526	0.29041	0.0	0.39914	0.52817	0.82961	0.60645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__CFGB81910|o__OFGB81910|f__FGB81910|g__GGB96855|s__GGB96855_SGB136353|t__SGB136353	0.12278	0.12954	0.10805	0.04008	0.0	0.02011	0.06554	0.28018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_baumannii|t__SGB10343	0.11004	1.23583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
