	LeonardSR_2016	LeonardSR_2016	LeonardSR_2016	LeonardSR_2016	LeonardSR_2016	LeonardSR_2016	LeonardSR_2016	LeonardSR_2016	LeonardSR_2016	LeonardSR_2016	LeonardSR_2016	LeonardSR_2016
sample	LeonardSR_2016__SRS1659769	LeonardSR_2016__SRS1659770	LeonardSR_2016__SRS1659771	LeonardSR_2016__SRS1659772	LeonardSR_2016__SRS1659773	LeonardSR_2016__SRS1659774	LeonardSR_2016__SRS1659775	LeonardSR_2016__SRS1659776	LeonardSR_2016__SRS1659777	LeonardSR_2016__SRS1659778	LeonardSR_2016__SRS1659779	LeonardSR_2016__SRS1659780
macrocategory	food	food	food	food	food	food	food	food	food	food	food	food
category	fruits_and_vegetables	fruits_and_vegetables	fruits_and_vegetables	fruits_and_vegetables	fruits_and_vegetables	fruits_and_vegetables	fruits_and_vegetables	fruits_and_vegetables	fruits_and_vegetables	fruits_and_vegetables	fruits_and_vegetables	fruits_and_vegetables
type	spinach	spinach	spinach	spinach	spinach	spinach	spinach	spinach	spinach	spinach	spinach	spinach
subtype	spinach_spiked_with_stec	spinach_spiked_with_stec	spinach_spiked_with_stec	spinach_spiked_with_stec	spinach_spiked_with_stec	spinach_spiked_with_stec	spinach_spiked_with_stec	spinach_spiked_with_stec	spinach_spiked_with_stec	spinach_spiked_with_stec	spinach_spiked_with_stec	spinach_spiked_with_stec
country	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA
source	public	public	public	public	public	public	public	public	public	public	public	public
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia|s__Serratia_fonticola|t__SGB10260	0.0	0.03088	0.0	0.0	0.0	0.0	0.0	0.0	0.00827	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_atacamensis|t__SGB12194	0.0	0.0	0.0	0.0	0.0	0.00815	0.0	0.0	0.0	0.0	0.0	0.00404
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_kulmbachensis|t__SGB89060	0.0	0.0	0.0	0.0	0.28731	0.16297	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_sp_NKUCC02_KPG|t__SGB99153	0.0	0.0	0.0	0.0	0.19811	0.10759	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_psychrophila|t__SGB12110	0.0	0.0	0.0	0.0	0.20198	0.1243	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_taetrolens|t__SGB12103	0.0	0.0	0.0	0.0	0.05638	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Raoultella|s__Raoultella_ornithinolytica|t__SGB10124	0.0	0.10725	0.1928	0.0	0.41196	0.03179	0.0	0.0	0.0	0.0	0.0	0.0414
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Shewanellaceae|g__Shewanella|s__Shewanella_oncorhynchi|t__SGB23312	0.0	0.0	0.0	0.0	0.07945	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Moellerella|s__Moellerella_wisconsensis|t__SGB10001	0.0	0.0198	0.0	0.0	0.0	0.0	0.0	0.0	0.01062	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Leclercia|s__Leclercia_pneumoniae|t__SGB10152	0.01652	0.05617	0.04818	7.57252	0.20907	0.21734	0.0	0.0	0.63679	0.0	0.051	0.29847
