clade_name	BuzzancaD_2024__SRR30684823	BuzzancaD_2024__SRR30684824	BuzzancaD_2024__SRR30684825	BuzzancaD_2024__SRR30684827	BuzzancaD_2024__SRR30684826	BuzzancaD_2024__SRR30684828	BuzzancaD_2024__SRR30684829	BuzzancaD_2024__SRR30684830	BuzzancaD_2024__SRR30684831	BuzzancaD_2024__SRR30684832	BuzzancaD_2024__SRR30684833	BuzzancaD_2024__SRR30684834	BuzzancaD_2024__SRR30684835	BuzzancaD_2024__SRR30684836	BuzzancaD_2024__SRR30684837	BuzzancaD_2024__SRR30684838	BuzzancaD_2024__SRR30684839	BuzzancaD_2024__SRR30684840	BuzzancaD_2024__SRR30684841	BuzzancaD_2024__SRR30684842	BuzzancaD_2024__SRR30684843	BuzzancaD_2024__SRR30684844	BuzzancaD_2024__SRR30684845	BuzzancaD_2024__SRR30684846	BuzzancaD_2024__SRR30684847	BuzzancaD_2024__SRR30684848	BuzzancaD_2024__SRR30684849	BuzzancaD_2024__SRR30684850	BuzzancaD_2024__SRR30684851	BuzzancaD_2024__SRR30684852	BuzzancaD_2024__SRR30684853	BuzzancaD_2024__SRR30684854	BuzzancaD_2024__SRR30684855	BuzzancaD_2024__SRR30684856	BuzzancaD_2024__SRR30684857	BuzzancaD_2024__SRR30684858	BuzzancaD_2024__SRR30684859	BuzzancaD_2024__SRR30684860	BuzzancaD_2024__SRR30684861
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_johnsonii|t__SGB10398	0.0	0.08261	0.47764	0.02249	0.01339	0.48402	0.11987	0.0	0.17293	0.0	0.0	0.0	0.0	0.0	0.0	0.0348	0.0	0.04208	0.10975	0.12101	0.0	0.11728	0.0	0.0337	0.00192	0.0	0.0	0.0	0.0	0.0	0.04189	0.00134	0.01869	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_italicus|t__SGB7973	0.0	0.04868	0.0	0.0	0.47404	0.0	1.62651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Rahnella|s__Rahnella_inusitata|t__SGB31286	0.0	0.04854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33015	0.18527	0.00136	0.16551	0.0	0.0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Teunomyces|s__Candida_sake|t__EUK39397	0.0	0.0323	0.00064	0.01193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_helleri|t__SGB12098	0.0	0.02097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.77876	0.0	0.0	0.0	0.0	0.0	0.02882	0.0	0.0	0.0	0.0	0.0	0.07577	0.0	0.0	0.0	0.0	0.00656	0.0	0.0	0.04975	0.10644	0.0	0.0333	0.21719	0.01179	0.19681	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_petauri|t__SGB7980	0.0	0.01336	0.0	0.01014	0.0	0.0	0.13873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_carnis|t__SGB12127	0.0	0.00796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00179	0.22822	0.0662	0.03609	0.04617	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_braakii|t__SGB10086	0.0	0.00582	0.0	0.0	0.11431	0.05811	0.01223	0.0	0.02153	0.00069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Lelliottia|s__Lelliottia_amnigena|t__SGB10142	0.0	0.00419	0.0	0.0	0.0	0.0	0.0	0.0	0.20518	0.00102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08465	0.01228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_agglomerans|t__SGB10187	0.0	0.00194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
