sample	LiZ_2018__SRS2920555	LiZ_2018__SRS2920554	LiZ_2018__SRS2920553	LiZ_2018__SRS2920552	LiZ_2018__SRS2920551	LiZ_2018__SRS2920550
macrocategory	food	food	food	food	food	food
category	fermented_beverages	fermented_beverages	fermented_beverages	fermented_beverages	fermented_beverages	fermented_beverages
type	tea	tea	tea	tea	tea	tea
subtype	pu-erh_tea	pu-erh_tea	pu-erh_tea	pu-erh_tea	pu-erh_tea	pu-erh_tea
country	CHN	CHN	CHN	CHN	CHN	CHN
source	public	public	public	public	public	public
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_telephonicus|t__SGB29947	0.02398	0.0	0.0	0.0	0.02344	0.01655
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Margalitia|s__Margalitia_camelliae|t__SGB7731	0.05774	0.0	0.0	0.0	0.05859	0.02879
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Neobacillus|s__Neobacillus_paridis|t__SGB94606	0.00334	0.0	0.0	0.0	0.00323	0.00253
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Ornithinibacillus|s__Ornithinibacillus_bavariensis|t__SGB49045	0.73203	0.0	0.0	0.0	0.65111	0.49914
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Pueribacillus|s__Pueribacillus_theae|t__SGB25210	0.45027	0.0	0.0	0.0	0.49359	0.34118
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Robertmurraya|s__Robertmurraya_siralis|t__SGB7556	0.17198	0.0	0.0	0.0	0.17685	0.14333
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Siminovitchia|s__Siminovitchia_fordii|t__SGB24960	0.01978	0.0	0.0	0.0	0.01344	0.01216
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Siminovitchia|s__Siminovitchia_fortis|t__SGB30224	0.40356	0.0	0.0	0.0	0.41796	0.30011
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Siminovitchia|s__Siminovitchia_thermophila|t__SGB7645	0.0096	0.0	0.0	0.0	0.0111	0.00739
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Weizmannia|s__Weizmannia_coagulans|t__SGB7729	7.05462	0.06655	0.06875	0.06982	7.13325	4.63689
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae|g__Listeria|s__Listeria_grayi|t__SGB7528	5.20099	0.0	0.0	0.0	5.38654	3.83376
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Aneurinibacillus|s__Aneurinibacillus_sp_XH2|t__SGB82384	0.11524	0.0	0.0	0.0	0.09897	0.07183
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_barengoltzii|t__SGB7399	0.44717	0.0	0.0	0.0	0.41863	0.26806
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_bovis|t__SGB82813	0.00857	0.0	0.0	0.0	0.00739	0.0064
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_cisolokensis|t__SGB7374	0.02377	0.0	0.0	0.0	0.0193	0.01215
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_ginsengihumi|t__SGB29179	0.21933	0.0	0.0	0.0	0.19805	0.13577
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_montaniterrae|t__SGB94505	0.49754	0.0	0.0	0.0	0.40353	0.29948
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_senegalensis|t__SGB29247	0.00442	0.0	0.0	0.0	0.00424	0.00103
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Thermobacillus|s__Thermobacillus_composti|t__SGB7373	0.0323	0.0	0.0	0.0	0.03125	0.01663
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Ureibacillus|s__Ureibacillus_thermophilus|t__SGB49065	0.00212	0.0	0.0	0.0	0.0013	0.00152
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Ureibacillus|s__Ureibacillus_thermosphaericus|t__SGB29943	0.22101	0.0	0.0	0.0	0.21107	0.15141
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Mammaliicoccus|s__Mammaliicoccus_sciuri|t__SGB7818	0.25602	0.0	0.0	0.0	0.28524	0.1921
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_durrellii|t__SGB94573	0.00626	0.0	0.0	0.0	0.01051	0.00668
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_gallinarum|t__SGB7835	17.51335	0.05168	0.07928	0.04245	21.25336	12.84064
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_kloosii|t__SGB7837	6.81269	0.0	0.0	0.00403	9.34372	5.0574
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_lloydii|t__SGB29687	0.00294	0.0	0.0	0.0	0.00367	0.0025
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_casseliflavus|t__SGB7952	1.07158	0.0	0.0	0.0	1.0451	0.73218
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecium|t__SGB7968	0.05262	0.0	0.0	0.0	0.05915	0.04067
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_gallinarum|t__SGB7951	0.3551	0.0	0.0	0.0	0.34439	0.26534
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lacticaseibacillus|s__Lacticaseibacillus_thailandensis|t__SGB7151	1.23825	0.0	0.0	0.0	1.09685	0.80897
